race_number,circle,division,class_name,place_class,place_overall,boat_name,sail_number,design,owner,rating,finish_status,finish_time_utc,elapsed_sec,corrected_sec,elapsed_hms,corrected_hms,finish_local,retire_reason
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division 9 - Warning Signal 11:50,7,19,SCAPEGOAT,USA619,J - 105,James Reichel,78,AOK,2025-07-25T23:02:41.000Z,126461,110315,35:07:41,30:38:35,2025-07-25 23:02:41,
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division 9 - Warning Signal 11:50,8,28,Unbreakable YCC,306,Quest 30,Thomas Sa,84,AOK,2025-07-26T01:54:01.000Z,136741,119353,37:59:01,33:09:13,2025-07-26 01:54:01,
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division X - Warning Signal 12:00,1,4,Habiru YCC,USA61124,J/121,Steve Losik,15,AOK,2025-07-25T16:25:24.000Z,102024,98919,28:20:24,27:28:39,2025-07-25 16:25:24,
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division X - Warning Signal 12:00,2,5,ACADIA,USA45002,J/45,Erik Asgeirsson,12,AOK,2025-07-25T16:21:46.000Z,101806,99322,28:16:46,27:35:22,2025-07-25 16:21:46,
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division X - Warning Signal 12:00,3,10,Della Aurora,USA27,x46,James Bistis,21,AOK,2025-07-25T17:37:10.000Z,106330,101983,29:32:10,28:19:43,2025-07-25 17:37:10,
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division X - Warning Signal 12:00,4,13,DUET,USA51445,J/120,Andrian Lubimov,42,AOK,2025-07-25T19:41:35.000Z,113795,105101,31:36:35,29:11:41,2025-07-25 19:41:35,
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division X - Warning Signal 12:00,5,14,Lucky Luke,USA 61734,Pogo 36,Jean-Marie Bergeal,51,AOK,2025-07-25T20:13:15.000Z,115695,105138,32:08:15,29:12:18,2025-07-25 20:13:15,
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division X - Warning Signal 12:00,6,15,Surface Tension,52556,Beneteau First 44.7,Lou Melillo,33,AOK,2025-07-25T19:19:00.000Z,112440,105609,31:14:00,29:20:09,2025-07-25 19:19:00,
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division X - Warning Signal 12:00,7,24,The Rocc YCC,64,J/112,John Scagnelli,39,AOK,2025-07-25T22:47:49.000Z,124969,116896,34:42:49,32:28:16,2025-07-25 22:47:49,
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division X - Warning Signal 12:00,8,32,WANDERER,181,Hanse 458,Stefano Basilico,57,AOK,2025-07-26T05:56:59.000Z,150719,138920,41:51:59,38:35:20,2025-07-26 05:56:59,
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division 0 - Warning Signal 12:10,1,1,Max,USA75050,Pogo 50,Moritz Hilf,-18,AOK,2025-07-25T14:15:50.000Z,93650,97376,26:00:50,27:02:56,2025-07-25 14:15:50,
1,Around Long Island Course - Spinnaker,PHRF,Spinnaker Division 0 - Warning Signal 12:10,2,3,Wahoo,USA52599,Ker 50,1/C Eddie Konjoyan,-51,AOK,2025-07-25T12:26:49.000Z,87109,97666,24:11:49,27:07:46,2025-07-25 12:26:49,
